id,productType,source,name,brand,brandName,brandCode,slug,depositAmount,activityLevel,reviewsRating,reviewsTotal,reviewsSource,lowestOptionRoomType,lowestOptionPrice,lowestOptionFullPrice,fkSeasonId,fkTourOptionId,created_at,updated_at
tour-9e61e1b0-99ca-41a7-a230-e148e41fc5b0,connection_tour,ttc,Balkan Adventure,trafalgar,Trafalgar,trafalgar,balkan-adventure,500.0,moderate,10.0,2,le_tour_operator,twin,3145.5,3495.0,7d463e2d-8104-4447-b32a-e1c1be6b11a8,7d5e29e0-097e-47c6-9ea0-e3339add7b4d,2023-09-25 11:50:22,2023-09-25 11:50:22
tour-9f2185ea-9f1e-4889-832d-f8e025e94a29,connection_tour,ttc,Best of Croatia and Slovenia,trafalgar,Trafalgar,trafalgar,best-of-croatia-and-slovenia,500.0,,10.0,2,le_tour_operator,twin,1912.5,2125.0,cc36ad04-9aa2-4ca2-b2c3-84fd116d7f4f,54035a03-bb86-443c-91c3-804ecbbf9e02,2023-09-25 11:50:23,2023-09-25 11:50:23
tour-9fcd8121-683d-464d-bd5e-4d2594866c3f,connection_tour,ttc,Mediterranean Journey,insightvacations,Insight Vacations,insightvacations,mediterranean-journey,500.0,,0.0,0,luxuryescapes,twin,6741.0,6741.0,25f8c063-9880-421f-8cff-062ccfef8bbe,53788ae0-0cf5-4ea1-98bd-e2f91af46f10,2023-09-25 11:50:20,2023-09-25 11:50:20
tour-a000649c-6580-436f-a38a-afaf629c2176,connection_tour,ttc,"Easy Pace Budapest, Vienna & Prague",insightvacations,Insight Vacations,insightvacations,easy-pace-budapest-vienna-and-prague,500.0,,0.0,0,luxuryescapes,twin,2470.5,2745.0,a74c8afa-cabb-4a73-b8df-b5d02e52764e,e1d0bf21-2b0a-44c9-8ce3-aabc43ac8d5b,2023-09-25 11:50:20,2023-09-25 11:50:20
tour-a097ea02-0491-4677-9f3f-a80032c520d3,connection_tour,ttc,World War I Battlefields,insightvacations,Insight Vacations,insightvacations,world-war-i-battlefields,500.0,,0.0,0,luxuryescapes,twin,1983.0,1983.0,6a53665d-909b-4a2f-b60c-6fdd43c9ee29,9c759208-8824-40b5-93b7-97d8301c2bfb,2023-09-25 11:50:26,2023-09-25 11:50:26
tour-a0dfa70a-7d1c-47ca-8a4b-71917eda877e,connection_tour,ttc,African Safari Adventure,trafalgar,Trafalgar,trafalgar,african-safari-adventure,500.0,,10.0,2,le_tour_operator,twin,8675.0,8675.0,1bd5b616-9b6d-4534-ae9a-fef43d5db7c8,76e054d7-afd1-41e2-96ca-fdfddd3ee076,2023-09-25 11:50:24,2023-09-25 11:50:24
tour-a142b787-4109-47f1-a9cd-a589face5772,connection_tour,ttc,Easy Pace Malta,insightvacations,Insight Vacations,insightvacations,easy-pace-malta,500.0,relaxed,0.0,0,luxuryescapes,twin,1995.0,1995.0,614a5e28-13d9-47cb-8cdb-ca8230b34904,f7e35960-8c70-4efe-ad42-b6797aa9ca88,2023-09-25 11:50:26,2023-09-25 11:50:26
tour-a1631c21-894d-4d49-936b-039e7f7f9696,connection_tour,ttc,Spectacular South Africa,luxurygold,Luxury Gold,luxurygold,spectacular-south-africa,500.0,,0.0,0,luxuryescapes,twin,8995.0,8995.0,a12f80f3-240d-4faa-a503-b7359a597d71,9da31edb-c84d-4152-bc4f-9f2d552f4881,2023-09-25 11:50:25,2023-09-25 11:50:25
tour-a1e588b5-ac4c-4ba6-95ed-7056432f7cfd,connection_tour,ttc,New Zealand Panorama,trafalgar,Trafalgar,trafalgar,new-zealand-panorama,500.0,moderate,10.0,2,le_tour_operator,twin,2819.8,3102.0,b9aa9a88-b844-4edf-8684-696ab79404e9,6aa86476-4008-4770-9877-effdde89a332,2023-09-25 11:50:20,2023-09-25 11:50:20
tour-a3137ba5-e23b-4f8d-89bb-c242752d5903,connection_tour,ttc,Essence of India,luxurygold,Luxury Gold,luxurygold,essence-of-india,500.0,,0.0,0,luxuryescapes,twin,2874.0,2874.0,5af0b935-9411-4d07-a813-b7701f536a15,bf228081-351f-4ade-927a-896ce62b7bc1,2023-09-25 11:50:23,2023-09-25 11:50:23
